"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @KLSouth: .@JebBush thinks Justice Roberts is doing a good job. This Bush guy is really a douche. Dangerous douche. #news #Gop",FALSE,0,NA,2015-09-20 06:46:21,FALSE,NA,"645489151664459780",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sokeijarhead",3,TRUE,FALSE,NA,NA
"2","RT @KLSouth: .@JebBush thinks Justice Roberts is doing a good job. This Bush guy is really a douche. Dangerous douche. #news #Gop",FALSE,0,NA,2015-09-20 06:46:02,FALSE,NA,"645489075659522048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","socalmike_SD",3,TRUE,FALSE,NA,NA
"3","RT @Amaka_Ekwo: @JebBush 
FRAUD! 
HAHAHA!
Nigeria is a British fraud.
Dissolve the fraud &amp; allow freedom.
#FreeBiafra #IPOB https://t.co/m8…",FALSE,0,NA,2015-09-20 06:45:03,FALSE,NA,"645488827520393216",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","rowlandlove200",76,TRUE,FALSE,NA,NA
"4","RT @JebBush: Sorry Mom",FALSE,0,NA,2015-09-20 06:44:05,FALSE,NA,"645488582161883136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Magnicida",28972,TRUE,FALSE,NA,NA
"5","RT @KLSouth: .@JebBush thinks Justice Roberts is doing a good job. This Bush guy is really a douche. Dangerous douche. #news #Gop",FALSE,0,NA,2015-09-20 06:43:44,FALSE,NA,"645488494891003904",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Fitzzer777",3,TRUE,FALSE,NA,NA
"6","@BlueDuPage @JebBush maybe has talked abt #Marvin #Bush who worked for #Israeli security service taking care of#WTC. Was located in #WTC7...",FALSE,0,"BlueDuPage",2015-09-20 06:43:39,FALSE,"644561570228518913","645488473827352577","41186732","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Stredni_trida",0,FALSE,FALSE,NA,NA
"7","@AWRHawkins @JebBush he's counting on GOP establishment rules governing  primaries",FALSE,0,"AWRHawkins",2015-09-20 06:42:11,FALSE,"645482946510454784","645488104514654208","388543577","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BossClaw",0,FALSE,FALSE,NA,NA
"8","RT @AWRHawkins: Dear @JebBush - when you are done defending Obama please do us all a favor and pull out of race. We are sick of weakness.",FALSE,0,NA,2015-09-20 06:41:30,FALSE,NA,"645487932074233856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BossClaw",2,TRUE,FALSE,NA,NA
"9","@JebBush, Warn Buhari &amp; Nigeria GOV to stop terrorising innocent #Biafrans. #RadioBiafra #IPOB #FreeBiafra. https://t.co/F90KFD1c8d",FALSE,0,"JebBush",2015-09-20 06:40:42,FALSE,NA,"645487729921409024","113047940","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","agbanyim1",0,FALSE,FALSE,NA,NA
"10","RT @PatDollard: What psychic abilities does @JebBush have to know with certainty, as he claims, that ""Obama is a Christian""? #tcot #gop #p2…",FALSE,0,NA,2015-09-20 06:39:44,FALSE,NA,"645487488866238465",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","trump2016fan",12,TRUE,FALSE,NA,NA
"11",".@JebBush thinks Justice Roberts is doing a good job. This Bush guy is really a douche. Dangerous douche. #news #Gop",FALSE,2,NA,2015-09-20 06:39:43,FALSE,NA,"645487483317305344",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","KLSouth",3,FALSE,FALSE,NA,NA
"12","RT @RedMeatMonday: @realDonaldTrump will get American Citizens to the polls @JebBush bribing Illegal ALIENS To Vote http://t.co/kjcNCSA9Yz",FALSE,0,NA,2015-09-20 06:39:23,FALSE,NA,"645487402333552640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeromeyee",2,TRUE,FALSE,NA,NA
"13","RT @BlueDuPage: Dumb-as-Dirt @JebBush: My brother 'kept us safe.'  http://t.co/5ny3v7f7CJ  #tcot #p2 http://t.co/EhEXVtcP6x",FALSE,0,NA,2015-09-20 06:39:19,FALSE,NA,"645487385736806400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Stredni_trida",21,TRUE,FALSE,NA,NA
"14","Feelin it! @rinkydnk2 #WeStandTogether RT @terrybrown5367: LMFAO @JebBush @BernieSanders #FeelTheBern #Berndownfor… http://t.co/qHN8XWpodm",FALSE,0,NA,2015-09-20 06:38:17,FALSE,NA,"645487122846253056",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","CallawayBOT",0,FALSE,FALSE,NA,NA
"15","@bigmike12790 @sacca @JebBush lied about? How about help orchestrate",FALSE,0,"bigmike12790",2015-09-20 06:37:48,FALSE,"644681790326607872","645487000963940352","49122116","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jarea52",0,FALSE,FALSE,NA,NA
"16","RT @JebBush: It's getting real in Athens http://t.co/ZMe2k2A8uX",FALSE,0,NA,2015-09-20 06:37:22,FALSE,NA,"645486893304532992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","davisorrr",325,TRUE,FALSE,NA,NA
"17","RT @KLSouth: .@JebBush &amp; Valerie Jarrett having dinner together. Rupert in middle. http://t.co/2OfH3IpYTv #jeb2016 #NoMoreBushes",FALSE,0,NA,2015-09-20 06:37:18,FALSE,NA,"645486876355235840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stillnoregrets1",3,TRUE,FALSE,NA,NA
"18","RT @RedMeatMonday: @realDonaldTrump will get American Citizens to the polls @JebBush bribing Illegal ALIENS To Vote http://t.co/kjcNCSA9Yz",FALSE,0,NA,2015-09-20 06:37:10,FALSE,NA,"645486841047744512",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","survivinglife3",2,TRUE,FALSE,NA,NA
"19","@KLSouth @JebBush eeeuuuuwww",FALSE,0,"KLSouth",2015-09-20 06:36:44,FALSE,"645483574125285376","645486733010841600","32497478","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BossClaw",0,FALSE,FALSE,NA,NA
"20","RT @KLSouth: .@JebBush &amp; Valerie Jarrett having dinner together. Rupert in middle. http://t.co/2OfH3IpYTv #jeb2016 #NoMoreBushes",FALSE,0,NA,2015-09-20 06:36:35,FALSE,NA,"645486695643787264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BossClaw",3,TRUE,FALSE,NA,NA
"21","RT @KLSouth: .@JebBush &amp; Valerie Jarrett having dinner together. Rupert in middle. http://t.co/2OfH3IpYTv #jeb2016 #NoMoreBushes",FALSE,0,NA,2015-09-20 06:36:28,FALSE,NA,"645486668527497216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","777denny_",3,TRUE,FALSE,NA,NA
"22","RT @AWRHawkins: Dear @JebBush - when you are done defending Obama please do us all a favor and pull out of race. We are sick of weakness.",FALSE,0,NA,2015-09-20 06:34:58,FALSE,NA,"645486287550459904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","suziew411_susan",2,TRUE,FALSE,NA,NA
"23","@KLSouth @JebBush SURPRISE, SURPRISE, SURPRISE<ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BD><ed><U+00B8><U+0080><ed><U+00A0><U+00BD><ed><U+00B8><U+0080>",FALSE,0,"KLSouth",2015-09-20 06:34:51,FALSE,"645483574125285376","645486259368931329","32497478","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","retired9941",0,FALSE,FALSE,NA,NA
"24","RT @ScottFordTVGuy: To be fair... I do like 'some' things about, @JebBush &amp; @JohnKasich. I always have. 
@WestsideSEO @Olivianuzzi @YahooPo…",FALSE,0,NA,2015-09-20 06:34:29,FALSE,NA,"645486168046342144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WestsideSEO",1,TRUE,FALSE,NA,NA
"25","RT @PatDollard: Why is @JebBush more focused on Mexicans than Americans? #tcot #gop #teaparty #pjnet #lnyhbt #tgdn",FALSE,0,NA,2015-09-20 06:32:58,FALSE,NA,"645485787287425024",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","T_A_Whitney",16,TRUE,FALSE,NA,NA
"26","@upayr @JebBush @GOP @Dicharden @ZaibatsuNews @Politics_PR @DivaLoyal1 Please he's not an option should be running as a democrat",FALSE,0,"upayr",2015-09-20 06:32:37,FALSE,"645485371673804800","645485699538546688","767036004","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vidiotfl",0,FALSE,FALSE,NA,NA
"27","@JebBush, ANOTHER @GOP FUCK UP. #SMH @Dicharden @ZaibatsuNews @Politics_PR @vidiotfl @DivaLoyal1 http://t.co/EuppIzX5Sw",FALSE,0,"Dicharden",2015-09-20 06:31:19,FALSE,"645473246746382336","645485371673804800","34541873","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","upayr",0,FALSE,FALSE,NA,NA
"28","RT @Amaka_Ekwo: @JebBush Warn Terrorist Dictator Buhari and Nigeria GOV to stop killing Biafrans.
#RadioBiafra #IPOB #FreeBiafra. http://t.…",FALSE,0,NA,2015-09-20 06:31:11,FALSE,NA,"645485338945847296",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","rowlandlove200",65,TRUE,FALSE,NA,NA
"29","@jiminhofe @realDonaldTrump @DrRandPaul @DrBenCarson2016 @CarlyFiorina @GovMikeHuckabee @JebBush (!) @GovChristie  https://t.co/e2sK4yxYwL",FALSE,0,"jiminhofe",2015-09-20 06:31:10,FALSE,NA,"645485333035900928","7270292","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","birminghamdoc",0,FALSE,FALSE,NA,NA
"30","RT @Amaka_Ekwo: @JebBush 
Self-governance is a universal law.
Freedom for #Biafra.
#RadioBiafra #IPOB @nnamdikanu1 #FreeBiafra. https://t.c…",FALSE,0,NA,2015-09-20 06:31:10,FALSE,NA,"645485332159401985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WilsonAnene1",57,TRUE,FALSE,NA,NA
"31","RT @PatDollard: EXPOSED: @JebBush Gave Millions To Planned Parenthood http://t.co/I3k31tpY2e  #tcot #pjnet #PlannedParenthood #lnyhbt #gop",FALSE,0,NA,2015-09-20 06:30:58,FALSE,NA,"645485280934232065",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","edwinajune",4,TRUE,FALSE,NA,NA
"32","RT @PatDollard: Why is @JebBush more focused on Mexicans than Americans? #tcot #gop #teaparty #pjnet #lnyhbt #tgdn",FALSE,0,NA,2015-09-20 06:30:13,FALSE,NA,"645485095311151104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stillnoregrets1",16,TRUE,FALSE,NA,NA
"33","RT @BlueDuPage: Dumb-as-Dirt @JebBush: My brother 'kept us safe.'  http://t.co/5ny3v7f7CJ  #tcot #p2 http://t.co/EhEXVtcP6x",FALSE,0,NA,2015-09-20 06:29:49,FALSE,NA,"645484993054031872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shyflower",21,TRUE,FALSE,NA,NA
"34","@PatDollard @JebBush Does NOT surprise me! Jeb only cares about lowering taxes for the ultra wealthy! THAT is NOT any kind of CONSERVATIVE!",FALSE,0,"PatDollard",2015-09-20 06:29:33,FALSE,"645483041528352768","645484924271591424","15300388","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CCheun",0,FALSE,FALSE,NA,NA
"35","RT @Amaka_Ekwo: @JebBush Warn Buhari &amp; Nigeria GOV to stop terrorising Biafrans.
#RadioBiafra #IPOB #FreeBiafra.
http://t.co/1wPA0ryetb",FALSE,0,NA,2015-09-20 06:29:05,FALSE,NA,"645484807804293120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmeagiChima",60,TRUE,FALSE,NA,NA
"36","RT @MrIbekwe: @JebBush  Would U Stand &amp; Watch Islamic Nigeria Distroy #BIAFRANS,Pls Save Our Soul,http://t.co/nH8SK3N2u4, http://t.co/eynrP…",FALSE,0,NA,2015-09-20 06:28:24,FALSE,NA,"645484638312472576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dallaswagg5",37,TRUE,FALSE,NA,NA
"37","RT @Amaka_Ekwo: @JebBush 
BOKO HARAM &amp; BOMB ALERT!
Terrorist Dictator Buhari is coming to France.
http://t.co/ALxqP96pGB http://t.co/MDmS0w…",FALSE,0,NA,2015-09-20 06:27:50,FALSE,NA,"645484495236235264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","biafrawood",289,TRUE,FALSE,NA,NA
"38","RT @PatDollard: EXPOSED: @JebBush Gave Millions To Planned Parenthood http://t.co/I3k31tpY2e  #tcot #pjnet #PlannedParenthood #lnyhbt #gop",FALSE,0,NA,2015-09-20 06:27:11,FALSE,NA,"645484329565450242",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ggr1868",4,TRUE,FALSE,NA,NA
"39","RT @Amaka_Ekwo: @JebBush British came to enslave and kill Biafrans.
#RadioBiafra #IPOB: #FreeBiafra. https://t.co/r7c7wb6pMV",FALSE,0,NA,2015-09-20 06:26:53,FALSE,NA,"645484252700786688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WilsonAnene1",120,TRUE,FALSE,NA,NA
"40","RT @Amaka_Ekwo: @clergywomen @BernardUdoye @soyefatou @nnamdikanu1 @JebBush @UN 
To Nigeria, Igbo means Biafrans to be marginalised and kil…",FALSE,0,NA,2015-09-20 06:26:39,FALSE,NA,"645484194580180992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","biafrawood",184,TRUE,FALSE,NA,NA
"41","RT @Amaka_Ekwo: @JebBush British came to enslave and kill Biafrans.
#RadioBiafra #IPOB: #FreeBiafra. https://t.co/r7c7wb6pMV",FALSE,0,NA,2015-09-20 06:24:28,FALSE,NA,"645483648364490752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WilsonAnene1",112,TRUE,FALSE,NA,NA
"42","RT @PatDollard: EXPOSED: @JebBush Gave Millions To Planned Parenthood http://t.co/I3k31tpY2e  #tcot #pjnet #PlannedParenthood #lnyhbt #gop",FALSE,0,NA,2015-09-20 06:24:27,FALSE,NA,"645483643188543488",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TerryHabel",4,TRUE,FALSE,NA,NA
"43","@emstefani @realDonaldTrump how about @JebBush",FALSE,0,"emstefani",2015-09-20 06:24:22,FALSE,"645483514477985792","645483620023402496","193914217","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dewey76207",0,FALSE,FALSE,NA,NA
"44",".@JebBush &amp; Valerie Jarrett having dinner together. Rupert in middle. http://t.co/2OfH3IpYTv #jeb2016 #NoMoreBushes",FALSE,1,NA,2015-09-20 06:24:11,FALSE,NA,"645483574125285376",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","KLSouth",3,FALSE,FALSE,NA,NA
"45","RT @PatDollard: EXPOSED: @JebBush Gave Millions To Planned Parenthood http://t.co/I3k31tpY2e  #tcot #pjnet #PlannedParenthood #lnyhbt #gop",FALSE,0,NA,2015-09-20 06:23:48,FALSE,NA,"645483479992373248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_claudiaw",4,TRUE,FALSE,NA,NA
"46","RT @beemerguyb7: GW Bush did not keep us safe. Ask the 9/11 victims. @JebBush @DickCheney &amp; #neocon friends keep lying. http://t.co/pBRcQfM…",FALSE,0,NA,2015-09-20 06:23:18,FALSE,NA,"645483351411957760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","folucar",1,TRUE,FALSE,NA,NA
"47","RT @Amaka_Ekwo: @JebBush British came to enslave and kill Biafrans.
#RadioBiafra #IPOB: #FreeBiafra. https://t.co/r7c7wb6pMV",FALSE,0,NA,2015-09-20 06:22:34,FALSE,NA,"645483170268246016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CalvinSunana",120,TRUE,FALSE,NA,NA
"48","EXPOSED: @JebBush Gave Millions To Planned Parenthood http://t.co/I3k31tpY2e  #tcot #pjnet #PlannedParenthood #lnyhbt #gop",FALSE,3,NA,2015-09-20 06:22:04,FALSE,NA,"645483041528352768",NA,"<a href=""https://www.tweetsuite.com/"" rel=""nofollow"">Tweet Suite</a>","PatDollard",4,FALSE,FALSE,NA,NA
"49","Dear @JebBush - when you are done defending Obama please do us all a favor and pull out of race. We are sick of weakness.",FALSE,1,NA,2015-09-20 06:21:41,FALSE,NA,"645482946510454784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AWRHawkins",2,FALSE,FALSE,NA,NA
"50","@realDonaldTrump will get American Citizens to the polls @JebBush bribing Illegal ALIENS To Vote http://t.co/kjcNCSA9Yz",FALSE,2,"realDonaldTrump",2015-09-20 06:21:18,FALSE,NA,"645482851631153152","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RedMeatMonday",2,FALSE,FALSE,NA,NA
"51","@JebBushJr @JebBush So 9/11/01 did NOT occur on Uncle/Bro W's watch? W warned by intel in summer '01 re: bin Laden use of jets as weapon.",FALSE,0,"JebBushJr",2015-09-20 06:20:39,FALSE,"644354607762702336","645482684484046848","48419788","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","scrivener50",0,FALSE,FALSE,NA,NA
"52","RT @JebBush: Sorry Mom",FALSE,0,NA,2015-09-20 06:20:06,FALSE,NA,"645482546621493248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShortyBanana",28972,TRUE,FALSE,NA,NA
"53","Full Speech HD: Donald Trump Speaks at Iowa Faith &amp; Freedom Forum (9-19-15) https://t.co/d1SCa55xHV @JebBush #KellyFile",FALSE,0,NA,2015-09-20 06:19:12,FALSE,NA,"645482319541891072",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PhillipNLegg",0,FALSE,FALSE,NA,NA
"54","RT @MrIbekwe: @JebBush  Would U Stand &amp; Watch Islamic Nigeria Distroy #BIAFRANS,Pls Save Our Soul,http://t.co/nH8SK3N2u4, http://t.co/eynrP…",FALSE,0,NA,2015-09-20 06:19:10,FALSE,NA,"645482313711812608",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","moses91492577",37,TRUE,FALSE,NA,NA
"55","RT @Amaka_Ekwo: @JebBush FRAUD ALERT!
Buhari GOV lies about Boko Haram.
#RadioBiafra #IPOB #FreeBiafra.
http://t.co/QcmG2osehf http://t.co/…",FALSE,0,NA,2015-09-20 06:18:54,FALSE,NA,"645482246179287040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","rowlandlove200",67,TRUE,FALSE,NA,NA
"56","Full Speech HD: Donald Trump Speaks at Iowa Faith &amp; Freedom Forum (9-19-15) https://t.co/d1SCa55xHV @JebBush",FALSE,0,NA,2015-09-20 06:18:48,FALSE,NA,"645482219394478080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PhillipNLegg",0,FALSE,FALSE,NA,NA
"57","@ZaibatsuNews 
@jebbush lying?  Stupid?  Both?  Likely.",FALSE,0,"ZaibatsuNews",2015-09-20 06:18:29,FALSE,"645393777083854848","645482142147809280","93111391","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BillYosemite",0,FALSE,FALSE,NA,NA
"58","RT @BlueDuPage: Dumb-as-Dirt @JebBush: My brother 'kept us safe.'  http://t.co/5ny3v7f7CJ  #tcot #p2 http://t.co/EhEXVtcP6x",FALSE,0,NA,2015-09-20 06:18:20,FALSE,NA,"645482103891595264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BardOfEarth",21,TRUE,FALSE,NA,NA
"59","RT @JebBush: Sorry Mom",FALSE,0,NA,2015-09-20 06:17:52,FALSE,NA,"645481987285889024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaggerspeaks",28972,TRUE,FALSE,NA,NA
"60","RT @JebBush: It's getting real in Athens http://t.co/ZMe2k2A8uX",FALSE,0,NA,2015-09-20 06:17:33,FALSE,NA,"645481905509531648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AshleyB0710",325,TRUE,FALSE,NA,NA
"61","RT @MrIbekwe: @JebBush  Would U Stand &amp; Watch Islamic Nigeria Distroy #BIAFRANS,Pls Save Our Soul,http://t.co/nH8SK3N2u4, http://t.co/eynrP…",FALSE,0,NA,2015-09-20 06:16:46,FALSE,NA,"645481710596001793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","davosky0808",37,TRUE,FALSE,NA,NA
"62","RT @MrIbekwe: @JebBush  Would U Stand &amp; Watch Islamic Nigeria Distroy #BIAFRANS,Pls Save Our Soul,http://t.co/nH8SK3N2u4, http://t.co/eynrP…",FALSE,0,NA,2015-09-20 06:16:40,FALSE,NA,"645481683073003520",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","kliffjay",37,TRUE,FALSE,NA,NA
"63","@realDonaldTrump @JebBush WOW! WOW! WOW! https://t.co/bnlQX0giJw",FALSE,0,"realDonaldTrump",2015-09-20 06:16:17,FALSE,NA,"645481588382281728","25073877","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gogotrump",0,FALSE,FALSE,NA,NA
"64","RT @Amaka_Ekwo: @JebBush 
Self-governance is a universal law.
Freedom for #Biafra.
#RadioBiafra #IPOB @nnamdikanu1 #FreeBiafra. https://t.c…",FALSE,0,NA,2015-09-20 06:16:01,FALSE,NA,"645481521621565440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CalvinSunana",57,TRUE,FALSE,NA,NA
"65","RT @JebBush: Sorry Mom",FALSE,0,NA,2015-09-20 06:15:45,FALSE,NA,"645481454261157888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrianneLink",28972,TRUE,FALSE,NA,NA
"66","another example of the government doing what the people DONT  want like @JebBush says he doesn't care what we want,  https://t.co/s0zcmwDA3F",FALSE,0,NA,2015-09-20 06:15:43,FALSE,NA,"645481444966436864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pashaterri",0,FALSE,FALSE,NA,NA
"67","@greta @JebBush @FoxNews I agree with you. Obama uses   My hispanic community to create hate against americans.",FALSE,0,"greta",2015-09-20 06:14:00,FALSE,"645013285193035776","645481011858513920","16031927","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bg06id",0,FALSE,FALSE,NA,NA
"68",".@JebBush #GOPFail #tcot #p2  https://t.co/Ap6Rw00ykT",FALSE,1,NA,2015-09-20 06:13:26,FALSE,NA,"645480869759578113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","birminghamdoc",0,FALSE,FALSE,NA,NA
"69","RT @chickasaw42: @PatDollard @o1d_dude @JebBush Same one W had pronounced Putin good man after looking into his eyes &amp; seeing his soul...or…",FALSE,0,NA,2015-09-20 06:12:50,FALSE,NA,"645480717221138432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","o1d_dude",1,TRUE,FALSE,NA,NA
"70","RT @JebBush: It's getting real in Athens http://t.co/ZMe2k2A8uX",FALSE,0,NA,2015-09-20 06:12:47,FALSE,NA,"645480707465322496",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","L_Stanaland",325,TRUE,FALSE,NA,NA
"71","RT @JoshuaMBarton: @JebBush TAX! plan is terrible. http://t.co/Ko0c2xozy0",FALSE,0,NA,2015-09-20 06:12:03,FALSE,NA,"645480523008245761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MtwnPatriot",4,TRUE,FALSE,NA,NA
"72","RT @MrIbekwe: @JebBush  Would U Stand &amp; Watch Islamic Nigeria Distroy #BIAFRANS,Pls Save Our Soul,http://t.co/nH8SK3N2u4, http://t.co/eynrP…",FALSE,0,NA,2015-09-20 06:11:54,FALSE,NA,"645480485989187584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","biafra_land",37,TRUE,FALSE,NA,NA
"73","RT @MrIbekwe: @JebBush  Would U Stand &amp; Watch Islamic Nigeria Distroy #BIAFRANS,Pls Save Our Soul,http://t.co/nH8SK3N2u4, http://t.co/eynrP…",FALSE,0,NA,2015-09-20 06:11:00,FALSE,NA,"645480257345056768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KelechiIvenso",37,TRUE,FALSE,NA,NA
"74","RT @metalfirez: @KLSouth @JebBush http://t.co/D0kH2erCe1",FALSE,0,NA,2015-09-20 06:10:34,FALSE,NA,"645480147835969540",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TrainReckt",4,TRUE,FALSE,NA,NA
"75","RT @MrIbekwe: @JebBush  Would U Stand &amp; Watch Islamic Nigeria Distroy #BIAFRANS,Pls Save Our Soul,http://t.co/nH8SK3N2u4, http://t.co/eynrP…",FALSE,0,NA,2015-09-20 06:09:56,FALSE,NA,"645479989404696577",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","B_in_Dk",37,TRUE,FALSE,NA,NA
"76","RT @JebBush: It's getting real in Athens http://t.co/ZMe2k2A8uX",FALSE,0,NA,2015-09-20 06:08:26,FALSE,NA,"645479610742870016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlysaNorth",325,TRUE,FALSE,NA,NA
"77","RT @JebBush: Sorry Mom",FALSE,0,NA,2015-09-20 06:08:02,FALSE,NA,"645479509198684160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Emilkihoe",28972,TRUE,FALSE,NA,NA
"78","@JebBush I think you would be a great president!!!. Thousands of times better of your brother and your father...",FALSE,0,"JebBush",2015-09-20 06:06:49,FALSE,"644339436285788161","645479203052331008","113047940","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bg06id",0,FALSE,FALSE,NA,NA
